Prodotto_Shopify,Categoria_Padre,Sottocategoria,SKU,EAN,Prezzo_2026,Opzione_1_Nome,Opzione_1_Valore,Opzione_2_Nome,Opzione_2_Valore,Titolo_Originale_Listino
Gre - MINT LEGNO RETTANGOLARE SISTEMA OMEGA. Blu Omega,Piscine,Piscine in legno,788032,3605217880321,18385.5,,,,,"MINT - KIT Piscina in legno rettangolare sistema omega. Liner blu 75/100. Filtro a sabbia da 10m³/h. Scala in legno esterna/scala inox interna, 2 skimmer, protezione fondo e pareti. Include dispositivo Smart Plug. Copertura estiva e copertura invernale incluse. Dim: Est: 1010x418 h 146 - Int: 965x371 h 142"
Gre - BRAGA LEGNO RETTANGOLARE SISTEMA OMEGA. Blu Omega,Piscine,Piscine in legno,790207,3605217902078,13307.6,,,,,"BRAGA - KIT Piscina in legno rettangolare sistema omega. Liner blu 75/100. Filtro a sabbia da 10m³/h. Scala in legno esterna/scala inox interna, 2 skimmer, protezione fondo e pareti. Include dispositivo Smart Plug. Copertura estiva e copertura invernale incluse. Dim: Est 815x420 h 146 - Int: 767x373 h 142"
Gre - EVORA LEGNO RETTANGOLARE SISTEMA OMEGA. Blu Omega,Piscine,Piscine in legno,790206,3605217902061,11113.7,,,,,"EVORA - KIT Piscina in legno rettangolare sistema omega. Liner blu 75/100. Filtro a sabbia da 8m³/h. Scala in legno esterna/scala inox interna, 2 skimmer, protezione fondo e pareti. Include dispositivo Smart Plug. Copertura estiva e copertura invernale incluse. Dim: Est 620x420 h 133 - Int: 570x373 h 130"
Gre - PAPAYA LEGNO RETTANGOLARE. LINER BLU Blu,Piscine,Piscine in legno,WPPAPA,8412081993034,6303.6,,,,,"PAPAYA - KIT Piscina in legno rettangolare. Liner blu 60/100. Filtro a sabbia da 6m³/h. Scala in legno esterna/scala inox interna, skimmer, protezione fondo e pareti. Include dispositivo Smart Plug. Copertura estiva inclusa. Dim: Est: 520x320 h 133 - Int: 473x282 h 130"
Gre - MARBELLA LEGNO RETTANGOLARE SISTEMA OMEGA. Blu Omega,Piscine,Piscine in legno,7900962,8412081318448,8394.5,,,,,"MARBELLA 2 - KIT Piscina in legno rettangolare sistema omega. Liner blu 75/100. Filtro a sabbia da 4m³/h. Scala in legno esterna/scala inox interna, skimmer, protezione fondo e pareti. Include dispositivo Smart Plug. Dim: Est 420x270 h 117 - Int: 373x223 h 114"
Gre - CARRA LEGNO QUADRATA. LINER BLU Blu,Piscine,Piscine in legno,WPCARR3,8412081290195,4985.2,,,,,"CARRA 3 - KIT Piscina in legno quadrata. Liner blu 60/100. Filtro a sabbia da 4m³/h. Scala in legno esterna/scala inox interna, skimmer, protezione fondo e pareti. Include dispositivo Smart Plug. Dim: Est: 305x305 h 119 - Int: 273x273 h 116"
Gre - LEMON LEGNO RETTANGOLARE. LINER BLU Blu,Piscine,Piscine in legno,790204,3605217902047,,,,,,LEMON - KIT Piscina in legno rettangolare. Liner blu 50/100. Filtro a cartuccia ad immersione da 2m³/h e tappeto. Scala non inclusa. Copertura estiva inclusa. Dim: Est: 375x200 h 68 - Int: 350x175 h 65
Gre - CITY- LEGNO QUADRATA. LINER BLU Blu,Piscine,Piscine in legno,790000,3605217900005,1725.25,,,,,CITY- KIT Piscina in legno quadrata. Liner blu 50/100. Filtro a cartuccia ad immersione da 2m³/h e tappeto. Scala non inclusa. Dim: Est: 225x225 h 68 - Int: 200x200 h 65
Gre - ORANGE LEGNO OVALE SISTEMA OMEGA. Blu Omega,Piscine,Piscine in legno,800007,8412081313313,,,,,,"ORANGE - KIT Piscina in legno ovale sistema omega. Liner blu 75/100. Filtro a sabbia da 10m³/h. Scala in legno esterna/scala inox interna, skimmer americano, protezione fondo e pareti. Copertura estiva e copertura invernale incluse. Dim: Est: 755x456 h 146 - Int: 705x408 h 142"
Gre - VERMELA LEGNO OVALE. LINER BLU Blu,Piscine,Piscine in legno,790098,3605217900982,9743.8,,,,,"VERMELA - KIT Piscina in legno ovale. Liner blu 75/100. Filtro a sabbia da 8m³/h. Scala in legno esterna/scala inox interna, skimmer americano, protezione fondo e pareti. Include dispositivo Smart Plug. Copertura estiva e copertura invernale incluse. Dim: Est 672x472 h 146 - Int: 623x423 h 142"
